layer_name,family,side,block,d_in,mean_act_salience,max_act_salience,mean_wt_salience,max_wt_salience,top1_median_ratio_act,top1_median_ratio_wt,gini_act,gini_wt,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,mean_jaccard_topk,cov_temporal,early_late_topk_jaccard,risk_score
blocks.18.text.mlp.fc1,fc1,text,18,1536,4.436520099639893,51.289268493652344,0.06658399850130081,0.32763671875,11.478062527520317,5.071327209472656,0.18231958426793035,0.12395510279942479,0.4569107829697806,0.009613176078599133,0.4358130814419477,0.47156146853289294,0.17695047290734628,0.11053521186113358,0.4222222222222222,0.24586647068191864
blocks.16.text.mlp.fc2,fc2,text,16,6144,3.8251821994781494,22.574710845947266,0.18791723251342773,1.07421875,5.038679480552673,6.136680603027344,0.14780137354240694,0.1164306366081842,0.0865654061174835,0.039133101622759243,-0.009224912821811147,0.12392191227556439,0.0,0.1479969173669815,0.03225806451612903,0.24551204270453972
blocks.7.text.attn.v_proj,v_proj,text,7,1536,1.0496699810028076,6.554464340209961,0.1846977323293686,0.338623046875,5.936145050185067,1.8395226001739502,0.23354203457251568,0.06921420216958407,0.3157660414928934,0.027633364902756866,0.2006674071414467,0.3387140454968491,0.028219361074237552,0.19585667550563812,0.18518518518518517,0.2450136258798429
blocks.6.image.mlp.fc1,fc1,image,6,1536,0.8656721711158752,7.106012344360352,0.2548086941242218,1.53515625,3.6055191584995816,6.516062259674072,0.1366231904945018,0.12608750084589948,-0.09279536684603207,0.11509565458338789,-0.19607607110773684,0.14705421920591907,0.042004674247629596,0.15085037052631378,0.06666666666666667,0.24439596354518534
blocks.15.text.mlp.fc1,fc1,text,15,1536,5.254647254943848,54.9344367980957,0.09105045348405838,0.319091796875,10.906173467636108,3.571038246154785,0.18428048707972053,0.10888183956890507,0.39747285648080316,0.01802242406243376,0.36562564721473517,0.4414570923552224,0.24969942859996994,0.12326148897409439,0.45454545454545453,0.24339368412993215
blocks.17.text.attn.o_proj,o_proj,text,17,1536,2.1521413326263428,7.906186580657959,0.19279026985168457,0.576171875,3.0374171819005693,3.0981292724609375,0.21058078144495948,0.12168649733491743,0.2580122072793597,0.03133117842420039,0.19059447774835797,0.2992035859528732,0.018360931539899587,0.1749705821275711,0.0,0.24336672415413768
blocks.13.text.mlp.fc1,fc1,text,13,1536,2.142019271850586,12.373885154724121,0.25664544105529785,1.0087890625,5.753360748291016,4.5822014808654785,0.14572667557412575,0.18957492263367537,0.18263723976748517,0.044114215118981684,0.030182296027054703,0.2402174537365438,0.019384097725111547,0.12956826388835907,0.14285714285714285,0.2425904001097456
blocks.12.text.mlp.fc2,fc2,text,12,6144,2.802211284637451,11.221887588500977,0.1941198706626892,1.0087890625,3.9612303972244263,5.487383842468262,0.1845761912864042,0.10215997576753355,0.04822785377178947,0.04195514758227421,-0.041198796605450595,0.09583802193929147,0.04817612333857886,0.17456240952014923,0.06666666666666667,0.2422064911223767
blocks.7.text.mlp.fc2,fc2,text,7,6144,1.9840776920318604,10.578201293945312,0.19127686321735382,0.9453125,5.126297746385847,5.142098426818848,0.3140085487689151,0.11826525699126056,-0.11547822051196513,0.013963986870992293,-0.14869495785029835,-0.09856581394137563,0.03900202774570078,0.23874717950820923,0.18518518518518517,0.24203678473513776
blocks.21.image.mlp.fc2,fc2,image,21,6144,1.229180932044983,5.084296703338623,0.17025746405124664,0.77294921875,3.7999612518719266,4.787901878356934,0.22084487504173198,0.11615391773341766,-0.08304208504830062,0.07595903306204661,-0.15193321586027447,0.1027726625892329,0.028806981221310344,0.25768327713012695,0.03225806451612903,0.24143027120552757
blocks.20.image.mlp.fc2,fc2,image,20,6144,1.1789307594299316,4.136700630187988,0.16712586581707,0.734375,3.619021339075906,4.590614318847656,0.21612040323231124,0.10428409890750512,-0.05595527851528365,0.04896372800277524,-0.10831128958812496,0.04424299412195374,0.005407586763518967,0.25494903326034546,0.03225806451612903,0.2412352639607142
blocks.4.image.attn.k_proj,k_proj,image,4,1536,1.4642181396484375,12.704927444458008,0.1945585012435913,0.8759765625,6.497059736933027,4.761778354644775,0.1910309762143037,0.10954459135290451,0.03487069006845539,0.08572484789874762,-0.05668252241490463,0.2069235159538378,0.20909902891827734,0.1949848085641861,0.20754716981132076,0.24094151351904589
blocks.13.text.mlp.fc2,fc2,text,13,6144,2.9551455974578857,43.072357177734375,0.19713802635669708,0.88671875,13.20254179409572,4.810595989227295,0.19201943366353058,0.11249687157846044,0.0224431324546619,0.029533368835683887,-0.023677612182613113,0.06495586795102809,0.13429027113237638,0.16764582693576813,0.3617021276595745,0.24017157977629355
blocks.9.image.attn.v_proj,v_proj,image,9,1536,1.6071537733078003,11.193201065063477,0.17959590256214142,0.423583984375,5.705732669149127,2.3438026905059814,0.19218735652821817,0.09001482982922204,0.35452291559967847,0.04166549031621647,0.26535308189912293,0.4079276655929692,0.034071164161063684,0.15587855875492096,0.45454545454545453,0.2399526861875516
blocks.19.text.mlp.fc1,fc1,text,19,1536,4.8547234535217285,26.6408748626709,0.131438210606575,0.54150390625,4.041278183460236,4.290135383605957,0.1372667786414932,0.08732913093588102,0.34285419789403615,0.02684508346906174,0.2683890137456298,0.37691436026542724,0.16805921130721427,0.12719222903251648,0.30612244897959184,0.23969917566436122
blocks.7.text.attn.k_proj,k_proj,text,7,1536,1.0496699810028076,6.554464340209961,0.1950652152299881,0.435791015625,5.936145050185067,2.288461446762085,0.23354203457251568,0.06481604562692822,0.2392808325227128,0.03952598990263477,0.08883754588401853,0.26911496476097263,0.07461085477584314,0.19585667550563812,0.18518518518518517,0.23953329918010705
blocks.13.image.attn.k_proj,k_proj,image,13,1536,1.724703311920166,13.766928672790527,0.17725761234760284,0.93017578125,7.5140761988503595,5.3870625495910645,0.169016912819864,0.08405221953964581,0.2147028181140834,0.031638492612965446,0.11167503634539899,0.248874650776162,0.3230785809764635,0.12092805653810501,0.45454545454545453,0.23833684896446367
blocks.4.text.mlp.fc2,fc2,text,4,6144,2.3849453926086426,17.08456039428711,0.19069285690784454,0.68994140625,5.899895089013236,3.750497579574585,0.3575338804065468,0.10207423222166234,-0.043777462040941725,0.010839097255003958,-0.06910562871080006,-0.031513381521851555,0.019422470204369418,0.23937618732452393,0.16363636363636364,0.2381664154003777
blocks.4.text.attn.q_proj,q_proj,text,4,1536,0.8951260447502136,7.140200138092041,0.1708746701478958,0.308349609375,7.881603905132839,1.8159596920013428,0.2761468095467314,0.06888229011538294,0.3484314188827331,0.017296000851831188,0.2935193196693196,0.3638253451158407,0.04013497519578958,0.17453370988368988,0.3333333333333333,0.23773783044538696
blocks.6.text.mlp.fc1,fc1,text,6,1536,1.4546724557876587,9.756973266601562,0.22003038227558136,0.7265625,5.750917400632586,3.4157819747924805,0.20110981915246634,0.07613941019258474,0.2523713562046194,0.03753246586526397,0.1299155548832852,0.27887920246771264,0.03243074067278948,0.1405666470527649,0.16363636363636364,0.2373019629735777
blocks.23.image.attn.o_proj,o_proj,image,23,1536,2.6193854808807373,9.53970718383789,0.18418912589550018,0.70263671875,3.6633721930640086,3.881321668624878,0.29264828181252056,0.11350077698284333,0.06974726468163381,0.03411455211513733,-0.040137687722982186,0.10991384682975554,0.005176087709894464,0.20404429733753204,0.0847457627118644,0.23679049871068253
